Time,TotalUsage,SystemUsage,MemoryUsage
1745608430.5031526,53026000,42439000000000,3076096
1745608431.5048685,1053419000,42446940000000,4304896
1745608432.507072,2053687000,42454890000000,5046272
1745608433.5085187,3053949000,42462820000000,5464064
1745608434.509901,4055263000,42470790000000,5951488
1745608435.5123806,5055475000,42478760000000,6475776
1745608436.5144174,6057268000,42486680000000,6832128
1745608437.5157378,7055190000,42494640000000,7270400
1745608438.5173216,8052437000,42502570000000,7585792
1745608439.5189936,9048564000,42510520000000,7954432
1745608440.5216465,10046336000,42518460000000,8101888
1745608441.5242846,11045798000,42526390000000,8466432
1745608442.526293,12046613000,42534340000000,8794112
1745608443.5276628,13046802000,42542300000000,9199616
1745608444.529817,14043948000,42550250000000,9465856
1745608445.5313456,15038787000,42558210000000,9793536
1745608446.5331733,16035791000,42566160000000,9965568
1745608447.5351768,17033969000,42574140000000,10313728
1745608448.536684,18033596000,42582030000000,10551296
1745608449.5390005,19032202000,42590010000000,10801152
1745608450.5412326,20033659000,42597960000000,10801152
1745608451.54302,21033695000,42605920000000,11149312
1745608452.5450604,22033739000,42613900000000,11419648
1745608453.5475574,23036437000,42621850000000,11513856
1745608454.5489657,24037606000,42629790000000,11927552
1745608455.5507085,25037151000,42637730000000,12124160
1745608456.5521004,26038465000,42645680000000,12275712
1745608457.5599382,27038524000,42653680000000,12480512
1745608458.5613613,28043689000,42661630000000,12705792
1745608459.5627813,29044469000,42669580000000,13230080
1745608460.564253,30044457000,42677510000000,13225984
1745608461.5656679,31044256000,42685470000000,13475840
1745608462.5671945,32044037000,42693420000000,13639680
1745608463.568916,33045246000,42701400000000,13848576
1745608464.5701258,34045708000,42709330000000,14032896
1745608465.571631,35046788000,42717290000000,14483456
1745608466.5746236,36046942000,42725270000000,14581760
1745608467.57704,37049557000,42733210000000,14524416
1745608468.579227,38050924000,42741200000000,14872576
1745608469.5809915,39051953000,42749130000000,15056896
1745608470.5831966,40052725000,42757090000000,15208448
1745608471.5847502,41053950000,42765070000000,15388672
1745608472.5863755,42053972000,42773030000000,15683584
1745608473.5880325,43054921000,42781000000000,15843328
1745608474.5904021,44055678000,42788980000000,16031744
1745608475.5918357,45055869000,42796930000000,16121856
1745608476.5940242,46054935000,42804860000000,16416768
1745608477.5962942,47053165000,42812850000000,16363520
1745608478.5985518,48048454000,42820800000000,16793600
1745608479.6017687,49048022000,42828760000000,16977920
1745608480.603356,50047246000,42836690000000,17158144
1745608481.6049225,51046031000,42844650000000,17289216
