Time Elapsed,CPU%,Memory(KB),Memory(MB)
0.10153484344482422,99.3,8032,7
0.2027120590209961,100.6,8336,8
0.3038949966430664,99.9,8576,8
0.40513086318969727,95.7,8784,8
0.506324052810669,99.4,8992,8
0.6075198650360107,104.8,9184,8
0.7086451053619385,100.7,9360,9
0.8097338676452637,99.2,9520,9
0.9108231067657471,100.9,9680,9
1.0119009017944336,99.0,9824,9
1.112987995147705,101.1,9984,9
1.214082956314087,99.9,10128,9
1.3151657581329346,99.4,10256,10
1.4162380695343018,95.7,10384,10
1.517293930053711,105.1,10512,10
1.6183600425720215,100.4,10640,10
1.7194490432739258,99.0,10768,10
1.820523977279663,101.4,10880,10
1.9216008186340332,99.0,11008,10
2.0226659774780273,99.0,11104,10
2.123739004135132,101.8,11232,10
2.224802017211914,98.5,11344,11
2.325892925262451,101.4,11440,11
2.426974058151245,98.9,11568,11
2.528052806854248,100.9,11664,11
2.629133939743042,98.2,11760,11
2.7302019596099854,101.5,11888,11
2.8312699794769287,100.7,11984,11
2.932370185852051,100.3,12080,11
3.0334959030151367,98.8,12192,11
3.1345908641815186,101.0,12288,12
3.235700845718384,100.5,12384,12
3.336775064468384,98.6,12464,12
3.437859058380127,98.9,12560,12
3.5389480590820312,100.8,12672,12
3.640061855316162,102.4,12752,12
3.7412400245666504,99.6,12848,12
3.8424129486083984,99.0,12944,12
3.9435009956359863,101.5,13024,12
4.044587850570679,98.6,13120,12
4.1456849575042725,101.3,13200,12
4.24679708480835,96.3,13296,12
4.34788703918457,100.3,13392,13
4.448957920074463,104.0,13488,13
4.550033092498779,98.9,13568,13
4.651100158691406,101.2,13648,13
4.752177715301514,99.0,13728,13
4.853266000747681,101.7,13824,13
4.9543328285217285,97.8,13904,13
5.055422067642212,98.3,13984,13
5.156500816345215,99.2,14064,13
5.2575719356536865,98.1,14144,13
5.358634948730469,106.8,14224,13
5.45970892906189,99.7,14304,13
5.560773134231567,100.4,14384,14
5.661857843399048,99.0,14464,14
5.762933015823364,99.0,14544,14
5.864001989364624,99.0,14624,14
5.965086936950684,103.4,14704,14
6.066162824630737,99.0,14784,14
6.167233943939209,99.0,14864,14
6.268342971801758,95.2,14944,14
6.369397878646851,106.6,15024,14
6.470474004745483,97.2,15088,14
6.5715508460998535,99.0,15168,14
6.672627925872803,99.0,15248,14
6.773697853088379,101.7,15328,14
6.874764919281006,98.6,15392,15
6.975831985473633,101.1,15456,15
7.076914072036743,100.4,15536,15
7.177992820739746,98.8,15616,15
7.279065847396851,96.0,15680,15
7.380148887634277,104.3,15760,15
7.481223106384277,99.3,15840,15
7.582314968109131,100.0,15904,15
7.683429002761841,98.2,15984,15
7.784519195556641,102.0,16048,15
7.8855979442596436,99.8,16128,15
7.986678838729858,96.0,16176,15
8.087754964828491,100.9,16256,15
8.188823938369751,100.2,16320,15
8.289905786514282,104.1,16400,16
8.390959024429321,99.7,16464,16
8.492023944854736,100.5,16544,16
8.593092918395996,99.5,16608,16
8.694163799285889,97.0,16688,16
8.795230865478516,101.5,16736,16
8.896301031112671,102.2,16816,16
8.997369050979614,95.2,16880,16
9.098437070846558,102.6,16960,16
9.199497938156128,101.2,17024,16
9.300562858581543,101.3,17088,16
9.401626110076904,99.7,17168,16
9.502691984176636,99.1,17216,16
9.603769063949585,98.9,17280,16
9.704845905303955,99.1,17360,16
9.805925130844116,103.0,17424,17
9.906997919082642,98.5,17488,17
10.008062839508057,100.7,17552,17
10.109135866165161,99.3,17616,17
10.210205793380737,98.1,17680,17
10.311284065246582,102.0,17760,17
10.412349939346313,99.8,17824,17
10.513426780700684,98.2,17888,17
10.614497900009155,100.9,17936,17
10.715577840805054,101.3,18016,17
10.81668496131897,100.8,18080,17
10.91777491569519,99.3,18144,17
11.018858909606934,99.6,18208,17
11.119926929473877,100.0,18272,17
11.221023797988892,99.6,18336,17
11.322113037109375,98.5,18400,17
11.423210859298706,101.5,18464,18
11.524357080459595,99.0,18528,18
11.625450849533081,99.0,18576,18
11.72652792930603,99.0,18640,18
11.827606916427612,102.1,18704,18
11.928692817687988,100.8,18784,18
12.02983283996582,97.5,18832,18
12.130918979644775,103.0,18896,18
12.23208212852478,99.8,18960,18
12.333250999450684,99.0,19024,18
12.43436884880066,100.7,19072,18
12.535469055175781,100.5,19136,18
12.636549949645996,98.9,19200,18
12.737653970718384,98.8,19264,18
12.838738203048706,99.2,19312,18
12.939825057983398,104.3,19376,18
13.040903806686401,99.8,19440,18
13.141988039016724,100.4,19504,19
13.243085861206055,100.1,19552,19
13.344170808792114,96.5,19616,19
13.445261001586914,101.2,19680,19
13.546332120895386,99.5,19744,19
13.647449016571045,96.4,19792,19
13.748613119125366,106.4,19856,19
13.84973692893982,100.5,19920,19
13.950882911682129,100.0,19968,19
14.052077054977417,99.1,20016,19
14.153266906738281,98.9,20080,19
14.254343748092651,102.1,20144,19
14.355430126190186,96.4,20192,19
14.456510066986084,104.2,20256,19
14.557577848434448,99.0,20320,19
14.658690929412842,100.8,20384,19
14.759876012802124,99.2,20416,19
14.860974073410034,101.1,20480,20
14.962070941925049,99.0,20544,20
15.063148975372314,99.0,20592,20
15.164231777191162,99.0,20656,20
15.265305995941162,102.0,20720,20
15.366386890411377,98.6,20784,20
15.467478036880493,96.4,20816,20
15.568586826324463,101.6,20880,20
15.669745922088623,104.6,20944,20
15.77084493637085,100.8,20992,20
15.871922969818115,100.0,21056,20
15.972986936569214,99.0,21104,20
16.07406997680664,97.9,21152,20
