test,rps,avg_latency_ms,min_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,connection,requests
SET,44052.86,0.095,0.032,0.087,0.175,0.327,1.279,10.0,40000.0
GET,38647.34,0.086,0.032,0.079,0.151,0.295,1.791,10.0,40000.0
SET,39024.39,0.107,0.032,0.095,0.199,0.391,1.319,10.0,40000.0
GET,27491.41,0.1,0.032,0.063,0.143,0.215,416.511,10.0,40000.0
SET,32867.71,0.098,0.032,0.079,0.167,0.327,208.767,10.0,40000.0
GET,51679.59,0.096,0.032,0.095,0.159,0.215,1.319,10.0,40000.0
SET,39408.87,0.084,0.032,0.071,0.159,0.319,1.191,10.0,40000.0
GET,42417.82,0.079,0.032,0.071,0.143,0.231,0.903,10.0,40000.0
SET,42238.65,0.118,0.04,0.103,0.215,0.415,1.207,10.0,40000.0
GET,53619.3,0.152,0.048,0.135,0.279,0.551,1.327,10.0,40000.0
SET,27341.08,0.127,0.032,0.079,0.191,0.391,416.511,10.0,40000.0
GET,52083.33,0.079,0.032,0.071,0.135,0.167,1.031,10.0,40000.0
SET,47058.82,0.107,0.032,0.095,0.191,0.367,1.711,10.0,40000.0
GET,47393.37,0.123,0.04,0.111,0.223,0.439,1.615,10.0,40000.0
SET,31496.06,0.142,0.04,0.119,0.247,0.487,209.663,10.0,40000.0
GET,49200.49,0.067,0.032,0.063,0.111,0.143,1.175,10.0,40000.0
SET,41365.05,0.122,0.032,0.103,0.231,0.503,1.607,10.0,40000.0
GET,45506.26,0.091,0.032,0.071,0.167,0.415,5.343,10.0,40000.0
SET,52151.24,0.127,0.04,0.111,0.239,0.423,1.311,10.0,40000.0
GET,45351.47,0.091,0.032,0.079,0.167,0.335,1.343,10.0,40000.0
SET,65573.77,0.219,0.064,0.199,0.367,0.639,2.311,50.0,40000.0
GET,42872.45,0.157,0.04,0.143,0.295,0.567,1.799,50.0,40000.0
SET,61633.28,0.209,0.056,0.183,0.383,0.695,1.871,50.0,40000.0
GET,50825.92,0.226,0.056,0.191,0.463,0.895,2.063,50.0,40000.0
SET,47003.52,0.141,0.04,0.127,0.263,0.503,1.919,50.0,40000.0
GET,48426.15,0.137,0.04,0.119,0.247,0.527,1.735,50.0,40000.0
SET,70921.98,0.171,0.064,0.159,0.255,0.319,16.295,50.0,40000.0
GET,57388.81,0.102,0.04,0.095,0.167,0.199,0.919,50.0,40000.0
SET,72727.27,0.196,0.072,0.183,0.311,0.399,1.271,50.0,40000.0
GET,63897.77,0.103,0.04,0.095,0.167,0.199,0.879,50.0,40000.0
SET,70298.77,0.254,0.088,0.231,0.423,0.591,1.743,50.0,40000.0
GET,63291.14,0.168,0.056,0.159,0.271,0.335,1.055,50.0,40000.0
SET,75901.33,0.226,0.088,0.215,0.351,0.471,1.567,50.0,40000.0
GET,76190.48,0.177,0.064,0.167,0.271,0.343,0.727,50.0,40000.0
SET,62893.08,0.195,0.064,0.183,0.327,0.423,1.543,50.0,40000.0
GET,59790.73,0.098,0.04,0.095,0.159,0.199,0.711,50.0,40000.0
SET,69808.02,0.151,0.064,0.143,0.239,0.311,1.223,50.0,40000.0
GET,75901.33,0.208,0.08,0.191,0.327,0.423,1.063,50.0,40000.0
SET,71684.59,0.179,0.072,0.167,0.295,0.367,1.255,50.0,40000.0
GET,73937.15,0.212,0.072,0.199,0.335,0.423,0.719,50.0,40000.0
SET,78125.0,0.201,0.08,0.191,0.295,0.359,3.879,100.0,40000.0
GET,84925.7,0.297,0.136,0.295,0.399,0.471,1.287,100.0,40000.0
SET,78431.38,0.249,0.096,0.231,0.399,0.503,1.711,100.0,40000.0
GET,87527.35,0.283,0.104,0.279,0.383,0.471,1.095,100.0,40000.0
SET,76045.62,0.265,0.104,0.239,0.407,0.519,15.919,100.0,40000.0
GET,79051.38,0.269,0.088,0.255,0.415,0.583,2.255,100.0,40000.0
SET,74487.9,0.204,0.08,0.191,0.335,0.439,1.495,100.0,40000.0
GET,84745.77,0.235,0.096,0.231,0.335,0.407,1.311,100.0,40000.0
SET,81300.81,0.256,0.12,0.247,0.383,0.495,1.655,100.0,40000.0
GET,84566.6,0.236,0.112,0.231,0.335,0.415,1.295,100.0,40000.0
SET,83857.45,0.266,0.128,0.255,0.383,0.527,1.375,100.0,40000.0
GET,86021.51,0.248,0.112,0.239,0.351,0.415,1.015,100.0,40000.0
SET,84566.6,0.307,0.16,0.303,0.415,0.511,1.447,100.0,40000.0
GET,84925.7,0.257,0.12,0.255,0.367,0.487,1.055,100.0,40000.0
SET,75614.37,0.353,0.144,0.319,0.623,0.775,1.407,100.0,40000.0
GET,81967.21,0.287,0.112,0.279,0.407,0.559,3.271,100.0,40000.0
SET,84210.53,0.328,0.16,0.319,0.463,0.591,1.639,100.0,40000.0
GET,83857.45,0.232,0.088,0.223,0.335,0.399,0.919,100.0,40000.0
SET,85653.1,0.276,0.112,0.271,0.383,0.455,1.207,100.0,40000.0
GET,79522.86,0.313,0.136,0.295,0.511,0.671,1.183,100.0,40000.0
