test,rps,avg_latency_ms,min_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,connection,requests
SET,43525.57,0.162,0.08,0.167,0.215,0.279,1.159,10.0,40000.0
GET,42689.43,0.166,0.072,0.159,0.239,0.351,2.127,10.0,40000.0
SET,44052.86,0.161,0.072,0.159,0.215,0.279,0.839,10.0,40000.0
GET,44543.43,0.156,0.08,0.159,0.199,0.263,1.223,10.0,40000.0
SET,43010.75,0.165,0.072,0.167,0.231,0.319,0.911,10.0,40000.0
GET,42964.55,0.161,0.072,0.159,0.207,0.295,0.847,10.0,40000.0
SET,44101.43,0.161,0.064,0.159,0.215,0.279,0.983,10.0,40000.0
GET,44150.11,0.157,0.08,0.159,0.199,0.263,0.567,10.0,40000.0
SET,42553.19,0.166,0.072,0.167,0.223,0.311,1.535,10.0,40000.0
GET,44198.89,0.157,0.072,0.159,0.207,0.263,2.759,10.0,40000.0
SET,44893.38,0.159,0.072,0.159,0.215,0.279,1.031,10.0,40000.0
GET,44692.74,0.156,0.072,0.159,0.207,0.263,0.839,10.0,40000.0
SET,44345.9,0.16,0.064,0.159,0.215,0.279,0.719,10.0,40000.0
GET,43715.85,0.159,0.056,0.159,0.207,0.263,1.247,10.0,40000.0
SET,43859.65,0.16,0.08,0.159,0.207,0.279,2.431,10.0,40000.0
GET,43103.45,0.161,0.08,0.159,0.215,0.279,1.367,10.0,40000.0
SET,44198.89,0.159,0.064,0.159,0.207,0.271,2.495,10.0,40000.0
GET,44692.74,0.157,0.072,0.159,0.207,0.279,0.799,10.0,40000.0
SET,43525.57,0.161,0.064,0.167,0.207,0.271,1.631,10.0,40000.0
GET,39721.95,0.184,0.072,0.159,0.271,0.559,5.999,10.0,40000.0
SET,44642.86,0.641,0.128,0.615,0.879,1.375,10.647,50.0,40000.0
GET,45248.87,0.623,0.224,0.607,0.823,1.191,2.039,50.0,40000.0
SET,44543.43,0.644,0.2,0.615,0.935,1.367,2.287,50.0,40000.0
GET,44296.79,0.636,0.184,0.623,0.831,1.263,3.911,50.0,40000.0
SET,44247.79,0.626,0.216,0.615,0.767,1.143,2.303,50.0,40000.0
GET,44052.86,0.622,0.16,0.623,0.743,1.007,1.975,50.0,40000.0
SET,43907.79,0.649,0.192,0.623,0.903,1.375,3.335,50.0,40000.0
GET,44742.73,0.621,0.176,0.615,0.759,1.119,2.111,50.0,40000.0
SET,45871.56,0.617,0.184,0.591,0.823,1.223,2.039,50.0,40000.0
GET,45662.1,0.608,0.176,0.599,0.743,1.079,2.111,50.0,40000.0
SET,43620.5,0.638,0.168,0.631,0.775,1.207,4.319,50.0,40000.0
GET,45248.87,0.614,0.184,0.607,0.743,1.087,2.231,50.0,40000.0
SET,44052.86,0.63,0.192,0.623,0.775,1.143,2.087,50.0,40000.0
GET,43290.04,0.635,0.192,0.631,0.767,1.127,2.343,50.0,40000.0
SET,44994.38,0.62,0.192,0.607,0.783,1.151,1.863,50.0,40000.0
GET,44742.73,0.619,0.192,0.615,0.751,1.079,2.103,50.0,40000.0
SET,45662.1,0.608,0.152,0.599,0.735,1.071,1.919,50.0,40000.0
GET,44247.79,0.639,0.208,0.623,0.863,1.271,2.551,50.0,40000.0
SET,44843.05,0.626,0.176,0.607,0.799,1.263,2.623,50.0,40000.0
GET,45248.87,0.61,0.168,0.599,0.735,1.063,1.743,50.0,40000.0
SET,44395.12,1.226,0.4,1.183,1.615,2.239,8.959,100.0,40000.0
GET,43149.95,1.237,0.336,1.207,1.527,2.311,4.775,100.0,40000.0
SET,43620.5,1.255,0.376,1.175,1.591,3.871,9.095,100.0,40000.0
GET,44593.09,1.198,0.36,1.167,1.431,2.175,4.063,100.0,40000.0
SET,42780.75,1.263,0.36,1.239,1.647,2.415,3.991,100.0,40000.0
GET,44198.89,1.196,0.344,1.175,1.407,1.743,3.079,100.0,40000.0
SET,43010.75,1.233,0.344,1.247,1.439,1.935,3.487,100.0,40000.0
GET,44198.89,1.21,0.352,1.191,1.447,2.095,4.175,100.0,40000.0
SET,44444.45,1.206,0.344,1.183,1.439,2.111,3.487,100.0,40000.0
GET,45045.04,1.177,0.36,1.151,1.391,1.839,4.127,100.0,40000.0
SET,44893.38,1.172,0.376,1.159,1.375,1.567,2.623,100.0,40000.0
GET,43763.68,1.235,0.344,1.199,1.591,2.407,4.431,100.0,40000.0
SET,44150.11,1.207,0.376,1.175,1.471,1.975,3.447,100.0,40000.0
GET,44593.09,1.181,0.376,1.167,1.367,1.663,2.679,100.0,40000.0
SET,43811.61,1.233,0.416,1.199,1.575,2.295,4.487,100.0,40000.0
GET,43243.24,1.222,0.32,1.191,1.447,2.095,6.319,100.0,40000.0
SET,44593.09,1.185,0.36,1.167,1.399,1.727,2.951,100.0,40000.0
GET,43572.98,1.212,0.328,1.199,1.423,1.839,4.223,100.0,40000.0
SET,42283.3,1.262,0.328,1.239,1.591,2.239,4.191,100.0,40000.0
GET,43668.12,1.201,0.32,1.191,1.391,1.607,3.287,100.0,40000.0
