Time Elapsed,CPU%,Memory(KB),Memory(MB)
1.006415605545044,22.0,89144,87
2.0075786113739014,301.8,98472,96
3.0085666179656982,328.8,98472,96
4.009558200836182,323.8,98472,96
5.010723114013672,332.8,98472,96
6.011625051498413,328.9,98472,96
7.0125648975372314,327.8,98984,96
8.013660192489624,333.8,98984,96
9.01507830619812,327.7,98984,96
10.016566038131714,328.6,98984,96
11.018283128738403,0.0,98984,96
12.019808053970337,1.0,98984,96
13.020548582077026,322.9,99624,97
14.021605014801025,327.8,100392,98
15.022609233856201,335.8,100392,98
16.023619890213013,331.8,100392,98
17.02513360977173,331.7,100392,98
18.026612520217896,327.7,100392,98
19.028058290481567,332.7,100392,98
20.02861452102661,334.0,100392,98
21.02960729598999,327.8,104488,102
22.03069019317627,322.8,104488,102
23.03277850151062,29.9,104488,102
24.034756183624268,0.0,104488,102
25.03550362586975,296.9,104872,102
26.03657579421997,326.8,105128,102
27.037559509277344,335.8,105128,102
28.038569688796997,329.8,105128,102
29.039584398269653,312.8,105128,102
30.040563106536865,332.8,105128,102
31.04152798652649,334.8,118952,116
32.04258704185486,332.8,118952,116
33.04363131523132,322.8,118952,116
34.04465579986572,320.8,118952,116
35.046485900878906,60.9,118952,116
36.04847049713135,0.0,118952,116
37.04962348937988,267.8,118952,116
38.05055332183838,333.8,118952,116
39.05159950256348,332.8,118952,116
40.052549600601196,329.8,118952,116
41.05363702774048,329.8,133544,130
42.05459785461426,319.8,133544,130
43.055574893951416,328.8,133544,130
44.05658197402954,324.8,133544,130
45.05761384963989,325.8,133544,130
46.05916476249695,326.7,133544,130
47.06127858161926,85.9,133544,130
48.06324911117554,0.0,133544,130
49.064611196517944,239.8,133544,130
50.06554865837097,330.8,133800,130
51.06654620170593,333.8,133800,130
52.06761431694031,335.8,138152,134
53.06859993934631,331.8,138152,134
54.069605588912964,327.8,138152,134
55.071199893951416,332.6,138152,134
56.07257342338562,324.7,138152,134
57.0736141204834,322.8,138152,134
58.074586391448975,319.8,138152,134
59.07573652267456,118.9,138152,134
60.077412366867065,0.0,138152,134
61.078574419021606,213.8,138152,134
62.07954931259155,329.8,138152,134
63.08061385154724,334.8,138152,134
64.08163952827454,335.8,138152,134
65.08287692070007,331.7,138152,134
66.08361744880676,327.9,138152,134
67.08457469940186,331.8,138152,134
68.0861885547638,328.6,138152,134
69.08757710456848,324.7,138152,134
70.08864951133728,323.8,138152,134
71.09072351455688,149.7,138152,134
72.09236073493958,0.0,138152,134
73.09360480308533,177.9,138152,134
74.09455966949463,309.8,138152,134
75.09559035301208,327.8,138152,134
76.09658074378967,320.8,138152,134
77.0976243019104,332.8,138152,134
78.09860181808472,334.8,138152,134
79.09959554672241,335.8,138152,134
80.10065388679504,321.8,138152,134
81.10161471366882,328.8,138152,134
82.10258674621582,325.8,138152,134
83.10427856445312,181.8,138152,134
84.10574269294739,0.0,138152,134
85.1065514087677,147.9,138152,134
86.10751223564148,324.8,138152,134
87.10878443717957,330.7,138152,134
88.10955119132996,330.9,138152,134
89.110604763031,331.8,138152,134
90.11157965660095,319.8,138152,134
91.11315703392029,321.6,138152,134
92.11453080177307,303.7,138152,134
93.11557102203369,321.8,138152,134
94.11659741401672,329.8,138152,134
95.11760473251343,211.9,138152,134
96.11922478675842,0.0,138152,134
97.12058210372925,116.9,138152,134
98.12160968780518,328.8,138152,134
99.12261700630188,334.8,138152,134
100.12354516983032,326.8,138152,134
101.12460708618164,334.8,138152,134
102.12558603286743,332.8,138152,134
103.12711310386658,331.6,138152,134
104.12860536575317,332.6,138152,134
105.12966775894165,325.8,138152,134
106.13065099716187,312.9,138152,134
107.13184475898743,229.8,138152,134
108.13379621505737,0.0,138152,134
109.13460445404053,87.0,138152,134
110.13615942001343,338.6,138152,134
111.13756132125854,311.7,138152,134
112.13860750198364,325.8,138152,134
113.13958477973938,331.8,138152,134
114.1406090259552,320.8,138152,134
115.14161467552185,329.8,138920,135
116.14263963699341,321.8,138920,135
117.143639087677,329.8,138920,135
118.1446533203125,325.8,138920,135
119.1457507610321,266.8,138920,135
120.14684867858887,0.0,138920,135
121.14780163764954,57.0,138920,135
122.14857602119446,336.9,138920,135
123.15010261535645,333.6,138920,135
124.15160536766052,320.7,138920,135
125.15259218215942,323.8,138920,135
126.15367579460144,326.8,138920,135
127.15522861480713,315.6,138920,135
128.1566288471222,318.7,138920,135
129.1576144695282,324.8,138920,135
130.15852522850037,325.8,138920,135
131.1602246761322,299.6,138920,135
132.1619098186493,0.0,138920,135
133.16254663467407,26.0,139688,136
134.16360211372375,318.8,141224,137
135.16460180282593,321.8,146048,142
136.16559958457947,332.8,147072,143
137.16651511192322,336.8,147072,143
138.16758465766907,335.8,147712,144
139.16918659210205,336.6,147712,144
140.1706063747406,337.7,147712,144
141.17163372039795,336.8,148480,145
142.17260670661926,332.8,148480,145
143.17365789413452,332.8,148480,145
144.17535758018494,4.0,148156,144
145.17709279060364,0.0,148156,144
146.17762088775635,312.0,148156,144
147.1790795326233,328.6,148284,144
148.18054938316345,335.6,148284,144
149.1815857887268,336.8,148284,144
150.18260312080383,338.8,148668,145
151.18359541893005,338.8,148668,145
152.18461203575134,314.8,148668,145
153.18563771247864,339.8,149180,145
154.18659782409668,339.8,149180,145
155.1876494884491,342.8,149180,145
156.18974256515503,42.9,148792,145
157.19171690940857,0.0,148792,145
158.19258856773376,277.9,148792,145
159.19356679916382,321.8,148792,145
160.1946563720703,325.8,148792,145
161.19563364982605,336.8,148792,145
162.19720268249512,334.6,149432,145
163.1985785961151,331.7,149432,145
164.19962167739868,341.8,149432,145
165.20062971115112,334.8,149944,146
166.20169353485107,342.8,149944,146
167.20259833335876,338.9,149944,146
168.2047083377838,78.9,149944,146
169.20667457580566,0.0,149944,146
170.2076575756073,240.9,149944,146
171.20857310295105,332.8,149944,146
172.20955753326416,338.8,151480,147
173.21057748794556,337.8,151992,148
174.21203088760376,337.6,152632,149
175.21265578269958,334.9,152632,149
176.2136311531067,329.8,152632,149
177.21453285217285,327.8,152888,149
178.21566653251648,324.8,152888,149
179.21663880348206,326.8,152888,149
180.2181363105774,118.9,152244,148
181.21980452537537,1.0,152244,148
182.22061824798584,205.9,152244,148
183.22221207618713,326.6,151728,148
184.22375392913818,332.6,151728,148
185.22463464736938,333.9,151728,148
186.2256031036377,336.8,151728,148
187.22651362419128,333.8,151728,148
188.22767400741577,331.8,151728,148
189.22863841056824,319.8,151728,148
190.22962927818298,337.8,151728,148
191.23124480247498,333.6,151728,148
192.23334312438965,149.7,151084,147
193.2353479862213,0.0,151084,147
194.2365596294403,158.9,151084,147
195.23814034461975,319.6,151084,147
196.2396318912506,331.7,151084,147
197.24058961868286,336.8,150568,147
198.24155640602112,336.8,150568,147
199.24262046813965,343.8,150568,147
200.24368143081665,340.8,150568,147
201.24466824531555,339.8,150568,147
202.24560809135437,333.8,150824,147
203.24664855003357,335.8,150824,147
204.2483880519867,191.7,150824,147
205.25035190582275,0.0,150824,147
206.2515594959259,129.9,150824,147
207.252610206604,323.8,150824,147
208.25414419174194,328.6,150824,147
209.25557351112366,333.7,150824,147
210.25661492347717,335.8,150824,147
211.2575831413269,342.8,150824,147
212.25865697860718,339.8,151080,147
213.2596652507782,330.8,151080,147
214.2606017589569,332.8,151848,148
215.261616230011,325.8,151848,148
216.26359105110168,226.6,151452,147
217.26555275917053,0.0,151452,147
218.26661086082458,95.9,151452,147
219.26760411262512,327.8,151452,147
220.26912903785706,324.6,151452,147
221.2705934047699,326.7,151452,147
222.27157950401306,323.8,150160,146
223.272554397583,323.8,150160,146
224.27360367774963,324.8,150160,146
225.27461123466492,327.8,150160,146
226.2756531238556,333.8,150160,146
227.27659702301025,330.8,150160,146
228.27834248542786,264.6,150160,146
229.27980256080627,0.0,150160,146
230.28059458732605,56.0,150160,146
231.28158617019653,326.8,150160,146
232.28254008293152,333.8,150160,146
233.28352904319763,337.8,150672,147
234.28473496437073,336.7,151184,147
235.28561639785767,334.9,151952,148
236.286616563797,332.8,152464,148
237.2876100540161,313.8,152464,148
238.28914523124695,333.6,152976,149
239.2906653881073,328.6,152976,149
240.2923445701599,299.6,152976,149
241.29400277137756,0.0,152976,149
242.2945487499237,20.0,152976,149
243.2955939769745,328.8,152976,149
244.29655051231384,329.8,152976,149
245.29756212234497,333.8,152504,148
246.2986023426056,335.8,152504,148
247.2996289730072,339.8,152504,148
248.30051398277283,339.8,152504,148
249.3015480041504,335.8,152504,148
250.30254983901978,333.8,152504,148
251.30363368988037,333.8,152504,148
252.3050892353058,338.6,152504,148
253.30579543113708,9.0,150576,147
254.30776524543762,0.0,150576,147
255.30856204032898,309.9,150576,147
256.3095865249634,336.8,151188,147
257.31058263778687,330.8,154516,150
258.31153750419617,328.8,155284,151
259.31258153915405,327.8,156564,152
260.3136055469513,329.8,157076,153
261.314590215683,331.8,157076,153
262.3156635761261,333.8,158100,154
263.3171033859253,333.7,158100,154
264.31862330436707,337.6,158100,154
265.32482409477234,47.9,158100,154
266.32684779167175,0.0,158100,154
267.3275990486145,272.9,158100,154
268.3291358947754,340.6,158100,154
269.3306007385254,335.7,158100,154
270.3315980434418,328.8,158100,154
271.33322525024414,333.6,158100,154
272.3345730304718,325.7,158100,154
273.335657119751,325.8,158100,154
274.3371798992157,326.7,159124,155
275.33875370025635,328.6,159124,155
276.33959341049194,331.9,159124,155
277.3415596485138,85.9,158628,154
278.34272742271423,0.0,158628,154
279.3437440395355,244.9,158628,154
280.3446102142334,320.9,158628,154
281.34556245803833,330.8,158628,154
282.3470766544342,327.6,155436,151
283.3485679626465,328.6,156460,152
284.3501048088074,330.6,156460,152
285.3516466617584,332.6,156460,152
286.3525495529175,329.8,156972,153
287.35355710983276,329.8,156972,153
288.35463976860046,331.8,156972,153
