connection,duration,requests_per_sec,latency_avg,errors
10,10s,32464.16,236.97us,
10,10s,32341.26,243.90us,
10,10s,32457.65,236.38us,
10,10s,32659.57,235.34us,
10,10s,32594.7,235.66us,
10,10s,32336.77,243.95us,
10,10s,32585.02,236.10us,
10,10s,32651.27,235.60us,
10,10s,32514.43,236.46us,
10,10s,32537.85,235.86us,
50,10s,55378.15,0.87ms,
50,10s,54012.25,0.87ms,
50,10s,55014.7,0.87ms,
50,10s,53311.84,0.89ms,
50,10s,54612.8,0.86ms,
50,10s,55058.51,0.87ms,
50,10s,53329.61,0.89ms,
50,10s,55285.81,0.86ms,
50,10s,55356.91,0.85ms,
50,10s,52987.25,0.90ms,
100,10s,57823.23,1.74ms,
100,10s,56617.47,1.77ms,
100,10s,56527.31,1.78ms,
100,10s,57557.01,1.76ms,
100,10s,56043.93,1.81ms,
100,10s,56393.09,1.79ms,
100,10s,57780.3,1.75ms,
100,10s,55856.39,1.80ms,
100,10s,56171.4,1.80ms,
100,10s,57888.58,1.74ms,
